73712,200g,3060001,밀가루
73712,1컵,3060001,들깨가루
73712,1T,3060001,올리브유
73712,1.5t,3060001,소금
73712,6컵,3060002,육수용 물
73712,1토막,3060002,육수용 무
73712,5*5cm 3조각,3060002,국물용 다시마
73712,15마리,3060002,국물용멸치
73712,1/2개,3060002,육수용 대파
73712,3뿌리,3060001,시금치
73699,100g,3060001,슈레드 치즈(모짜렐라치즈)
73699,1장,3060001,슬라이스치즈
73699,조금,3060001,전분
73699,조금,3060001,찐옥수수 알갱이
73699,1개,3060001,무지개고추
73699,1/3개,3060001,파프리카
73699,작은거1개,3060001,단호박
73679,1마리,3060001,낙지
73679,1통,3060001,절인 배추
73679,1컵,3060003,고춧가루
73679,100g,3060003,감동젓
73679,1/2큰술,3060003,다진마늘
73679,1작은술,3060003,다진생각
73679,2큰술,3060003,설탕
73679,2큰술,3060003,소급
73679,1/2컵,3060001,생굴
73679,100g,3060001,실파
73679,100g,3060001,미나리
73679,7개,3060001,밤
73679,1개,3060001,배
73679,1개,3060001,무
73679,1마리,3060001,북어
62330,1포기,3060001,절인 배추
62330,1톨,3060003,생강
62330,1/2큰술,3060001,잣
62330,4개,3060001,대추
62330,100g,3060001,굴
62330,100g,3060001,낙지다리
62330,4개,3060001,밤
62330,1/2개,3060001,배
62330,50g,3060001,미나리
62330,30g,3060001,실파
62330,80g,3060001,갓
62330,1큰술,3060003,소금
62330,1/2컵,3060003,새우젓
62330,1컵,3060003,고춧가루
62330,6쪽,3060003,마늘
62330,200g,3060001,무
39692,1.2kg,3060001,돼지갈비
39692,200g,3060001,시래기
39692,약간,3060003,후추
39692,1작은술,3060003,소금
39692,1작은술,3060003,다진생강
39692,1큰술,3060003,다진마늘
39692,2큰술,3060003,다진양파
39692,3큰술,3060003,다진파
39692,3큰술,3060003,사과즙
39692,2큰술,3060003,배즙
39692,3큰술,3060003,청주
39692,3큰술,3060003,간장
39692,2컵,3060002,다시마 우린 물
39692,5큰술,3060003,고춧가루
39692,5큰술,3060003,고추장
39665,1/4개,3060002,양파
39665,1대,3060002,대파
39665,1컵(170g),3060002,참쌀
39665,1뿌리,3060002,인삼
39665,20알,3060002,땅콩
39665,약간,3060003,소금
39665,1마리,3060001,닭
39665,3~5알,3060002,잣
39665,5알,3060002,통후추
39665,3개,3060002,대추
39665,1/2컵(55g),3060002,볶은 흑임자(검은깨)
5836,300g,3060001,쇠고기(안심 또는 등심)
5836,1/2큰술,3060003,소금
5836,1개,3060002,양파
5836,1개,3060002,감자
5836,1/2개,3060002,당근
5836,1/2개,3060002,"홍피망, 청피망 각각"
5836,5개,3060002,양송이버섯
5836,약간씩,3060003,"후추, 식용유"
5836,3개,3060003,칠리
5836,1큰술,3060003,다진 마늘
5836,2.5컵,3060003,물
5836,2장,3060003,월계수 잎
5836,1/2작은술,3060003,바질
5836,3큰술,3060003,토마토페이스트
5836,5개,3060001,토마토
531,10g,3060001,표고버섯
531,10g,3060001,감자
531,2g,3060001,아기된장소스
531,3g,3060001,양파
531,2g,3060001,당근
531,35g,3060001,멥쌀
531,5g,3060001,찹쌀
531,10g,3060001,시금치
516,15g,3060001,멥쌀
516,10g,3060001,찹쌀
516,120ml,3060001,물(쇠고기육수)
516,10g,3060001,배
516,10g,3060001,시금치
500,3g,3060002,올리브오일
500,약간,3060002,후춧가루
500,2g,3060002,당근
500,2g,3060002,샐러리
500,60g,3060001,쌀
500,10g,3060002,화이트와인
500,3g,3060002,완두콩
500,130ml,3060002,닭 육수
500,1개,3060002,이태리고추
500,2포기,3060002,사라다나
500,1포기,3060002,트레비소
500,1쪽,3060002,마늘
500,1줄기,3060002,로즈마리
500,1마리,3060001,낙지
500,1줄기,3060002,이태리파슬리
500,1/3개,3060002,토마토
500,1/5개,3060002,파프리카
500,약간,3060002,차이브
500,약간,3060002,소금
500,3g,3060002,양파
499,60g,3060001,돼지 볼살
499,100g,3060001,스파게티
499,10g,3060002,양파
499,1개,3060002,계란노른자
499,10g,3060002,그라나 빠다노
499,50g,3060002,우유
499,2줄기,3060002,이태리파슬리
499,적당량,3060002,후추
499,적당량,3060002,소금
499,300g,3060001,생크림
498,1마리,3060001,송어
498, ,3060002,양상추
498, ,3060002,무순
498, ,3060002,파인애플
498, ,3060002,오이
498, ,3060002,토마토
498, ,3060002,파슬리
497,1마리,3060001,잉어
497,200g,3060003,콩나물
497,50g,3060003,미나리
497,1개,3060003,계란
497,2개,3060001,홍고추
497,3큰술,3060003,[양념장] 고춧가루
497,약간,3060003,참기름
497,1과1/2큰술,3060003,다진마늘
497,1과1/2큰술,3060003,된장
497,1/2큰술,3060003,물엿
497,약간,3060003,생강
497,약간,3060003,후춧가루
497,3큰술,3060003,고추장
496,1마리,3060001,메기
496,100g,3060002,무
496,1뿌리,3060002,대파
496,2쪽,3060002,마늘
496,1쪽,3060002,생강
496,50g,3060002,쑥갓
496,1작은술,3060003,고추장
496,1큰술,3060003,식용유
496,약간,3060003,소금
496,약간,3060003,후춧가루
496,4컵,3060003,물
496,1큰술,3060003,고춧가루
495,1큰술,3060003,설탕
495,2큰술,3060003,식초
495,3큰술,3060003,육수
495,약간,3060003,깨소금
495,300g,3060001,냉면
495,1개,3060001,계란
495,2개,3060001,방울토마토
495,약간,3060001,샐러드채소
495,1/3개,3060002,무
495,2작은술,3060002,[배합초] 소금
495,3큰술,3060002,설탕
495,3큰술,3060002,식초
495,약간,3060002,물
495,1/2작은술,3060003,[비빔양념] 간장
495,1과1/2작은술,3060003,고추장
495,1/2큰술,3060003,다진마늘
495,1작은술,3060003,다진파
495,1큰술,3060003,물엿
494,1과1/2큰술,3060003,미소
494,1/2모,3060001,두부
494,약간,3060003,간장
494,약간,3060002,팽이버섯
494,약간,3060002,실파
494,약간,3060003,다시마
493,1/2포기,3060001,김치
493,1캔,3060001,꽁치
493,1/3개,3060002,무
493,약간,3060003,간장
493,5톨,3060002,마늘
493,1/2물,3060002,김칫국물
493,1뿌리,3060002,대파
492,50g,3060001,떡국떡
492,15장,3060002,만두피
492,1장,3060002,구운김
492,1/2뿌리,3060002,대파
492,2큰술,3060003,다진마늘
492,약간,3060003,청정원맛선생
492,1큰술,3060003,국간장
492,약간,3060003,참기름
492,12장,3060001,만두피
492,100g,3060001,다진돼지고기
492,100g,3060001,배추김치
492,50g,3060001,숙주
492,1모,3060001,두부
492,1/3뿌리,3060001,파
492,1개,3060002,계란
491,1팩,3060001,미니파프리카
491,2개,3060001,오이
491,1/2개,3060001,당근
491,1/2개,3060002,브로콜리
491,1/4통,3060002,양배추
491,1/2컵,3060003,식초
491,2와1/2컵,3060003,발효초
491,1컵,3060003,설탕
491,4큰술,3060003,소금
491,20알,3060003,통후추
491,2와1/2컵,3060003,물
490,4개,3060001,플레인요구르트
490,10큰술,3060001,발효초
490,1큰술,3060002,꿀
490,약간,3060002,과일통조림
490,약간,3060002,초콜릿
489,4큰술,3060003,식초
489,1큰술,3060003,설탕
489,1작은술,3060003,간장
489,약간,3060003,참기름
489,1작은술,3060003,다진마늘
489,2큰술,3060003,고추장
489,120g,3060001,쫄면
489,1/2개,3060002,오이
489,1/2개,3060002,파프리카
489,5장,3060002,깻잎
489,약간,3060002,새싹채소
489,1작은술,3060003,물엿
488,100g,3060001,우동면
488,약간,3060003,참기름
488,1/8포기,3060001,김치
488,약간,3060002,쑥갓
488,약간,3060002,김
488,1컵,3060003,[육수] 시판용장국
488,3~4컵,3060003,물
488,1작은술,3060003,고춧가루
488,약간,3060003,국간장
488,약간,3060003,소금
488,약간,3060003,후춧가루
488,약간,3060003,맛술
488,1/2작은술,3060003,설탕
488,1/2작은술,3060003,식초
488,약간,3060003,고춧가루
488,4마리,3060002,새우
487,1팩,3060001,두부
487,1개,3060002,계란
487,2큰술,3060003,청정원어장
487,1~2큰술,3060003,고춧가루
487,약간,3060003,깨소금
487,1/2개,3060002,양파
487,약간,3060001,미더덕
487,약간,3060001,바지락
487,약간,3060001,잔새우
487,1장,3060002,다시마
487,한줌,3060002,멸치
487,약간,3060003,참기름
486,12마리,3060001,대하
486,1개,3060002,홍고추
486,50g,3060001,미더덕
486,1봉,3060001,바지락
486,3마리,3060001,꽃게
486,50g,3060002,무
486,1개,3060002,양파
486,1개,3060002,청고추
486,1장,3060002,다시마
486,50g,3060002,미나리
486,30g,3060002,쑥갓
486,5큰술,3060003,고춧가루
486,4큰술,3060003,국간장
486,3큰술,3060003,맛술
486,2큰술,3060003,다진마늘
486,1큰술,3060003,다진생강
486,약간,3060003,후춧가루
486,약간,3060003,소금
486,약간,3060003,참기름
486,1마리,3060001,오징어
485,1작은술,3060003,청주
485,1작은술,3060003,간장
485,1/2개,3060003,홍고추
485,약간,3060003,참기름
485,1큰술,3060002,올리브오일
485,1/2개,3060003,청고추
485,1/2개,3060002,양파
485,2장,3060002,표고버섯
485,1/2개,3060002,피망
485,5톨,3060002,마늘
485,4개,3060001,새송이버섯
485,2큰술,3060003,청정원순창쌈장
485,2큰술,3060003,물
485,2뿌리,3060003,쪽파
485,1작은술,3060003,다진마늘
485,1/3작은술,3060003,설탕
